Source,Target,weight
ABC,Cipaganti,1.0
ABC,Hegarmanah,1.0
AHNasution,AsiaAfrika,1.0
Ambon,DagoTengah,1.0
Antapani,Jakarta,1.0
Antapani,Supratman,1.0
AsiaAfrika,Braga,1.0
AsiaAfrika,LuarBdg,2.0
AsiaAfrika,Martadinata,1.0
AsiaAfrika,PVJ,1.0
BabakanJeruk,BIP,1.0
BandaraHusein,DagoAtas,1.0
BandaraHusein,SetiabudiUtara,1.0
BEC,BEC,1.0
BEC,Bengawan,1.0
BEC,BIP,1.0
BEC,BTC,1.0
BEC,Burangrang,1.0
BEC,Cipagantibawah,1.0
BEC,Djunjunan,1.0
BEC,StasiunKABandung,1.0
BEC,Tamansari,2.0
BEC,Veteran,1.0
Bengawan,KiaraCondong,1.0
Bikasoga,LuarBdg,1.0
Bikasoga,Pasirluyu,1.0
BIP,AsiaAfrika,1.0
BIP,BIP,2.0
BIP,BragaCityWalk,1.0
BIP,Cibadak,1.0
BIP,Cicadas,1.0
BIP,Djunjunan,1.0
BIP,Gedungsate,1.0
BIP,JalanAceh,1.0
BIP,Jatihandap,1.0
BIP,LebakSiliwangi,2.0
BIP,Martadinata,1.0
BIP,PasirKoja,1.0
BIP,Rancabali,1.0
BIP,Sukapura,1.0
BIP,SuryaSumantri,1.0
BIP,Tamansari,1.0
Braga,Cicadas,1.0
BragaCityWalk,Cibaduyut,1.0
BragaCityWalk,DipatiUkur,1.0
BragaCityWalk,ITB,1.0
BTC,DagoAtas,1.0
BTC,Kosambi,1.0
BTC,Pajajaran,1.0
BTC,Suci,1.0
BTC,Sukajadi,1.0
BTC,SuryaSumantri,1.0
BuahBatu,TerusanJakarta,1.0
Burangrang,BragaCityWalk,1.0
Burangrang,GatotSubroto,1.0
Burangrang,HOSCokro,1.0
Burangrang,TSM,1.0
Cibadak,BIP,1.0
Cibadak,Cibadak,1.0
Cibadak,JendralSudirman,1.0
Cibadak,RajawaliTimur,1.0
Cibadak,SuryaSumantri,1.0
CibaduyutKidul,MochToha,1.0
Cicadas,BuahBatu,1.0
Cicadas,PHMustopha,1.0
Cicendo,Cicendo,1.0
Cicendo,KebonJati,1.0
Cigadung,Djunjunan,1.0
CihampelasAtas,BKR,1.0
CihampelasAtas,CihampelasAtas,3.0
CihampelasAtas,CIkutraBarat,1.0
CihampelasAtas,DipatiUkur,1.0
CihampelasAtas,LuarBdg,1.0
CihampelasAtas,MetroIndahMall,1.0
CihampelasAtas,StasiunKABandung,2.0
Cihampelasbawah,BuahBatu,1.0
Cihampelasbawah,Cihampelasbawah,1.0
Cihampelasbawah,DagoBawah,1.0
Cihampelasbawah,GatotSubroto,1.0
Cihampelasbawah,KebonJati,1.0
Cihampelasbawah,Pajajaran,1.0
Cihampelasbawah,Pasirluyu,1.0
Cihampelasbawah,Tamansari,2.0
