label,modularity_class
ABC,7
Cipaganti,1
Hegarmanah,7
AHNasution,0
AsiaAfrika,0
Ambon,2
DagoTengah,2
Antapani,1
Jakarta,1
Supratman,1
Braga,0
LuarBdg,0
Martadinata,7
PVJ,1
BabakanJeruk,2
BIP,2
BandaraHusein,2
DagoAtas,2
SetiabudiUtara,2
BEC,4
Bengawan,0
BTC,4
Burangrang,4
Cipagantibawah,3
Djunjunan,3
StasiunKABandung,6
Tamansari,4
Veteran,4
KiaraCondong,0
Bikasoga,4
Pasirluyu,4
BragaCityWalk,7
Cibadak,2
Cicadas,0
Gedungsate,3
JalanAceh,7
Jatihandap,2
LebakSiliwangi,2
PasirKoja,3
Rancabali,2
Sukapura,2
SuryaSumantri,1
Cibaduyut,7
DipatiUkur,7
ITB,7
Kosambi,6
Pajajaran,4
Suci,7
Sukajadi,1
BuahBatu,0
TerusanJakarta,2
GatotSubroto,4
HOSCokro,4
TSM,1
JendralSudirman,2
RajawaliTimur,4
CibaduyutKidul,3
MochToha,3
PHMustopha,0
Cicendo,6
KebonJati,6
Cigadung,3
CihampelasAtas,6
BKR,6
CIkutraBarat,6
MetroIndahMall,6
Cihampelasbawah,4
DagoBawah,3
Katamso,6
Cimahi,0
Cimindi,3
GerlongHilir,3
RSHS,1
Cipedes,1
Cisaranten,7
LapangTegaLega,7
Cisitu,7
Ciumbeuleuit,1
Ciwalk,1
SetiabudiSelatan,2
GunungBatu,3
Lembong,7
DagoGiri,0
DalemKaum,5
Belitung,5
DewiSartika,7
Elang,6
Gardujati,6
PasirImpun,6
Gasibu,2
Cigondewah,4
RiungBandung,4
GTBuahBatu,0
GTMochToha,2
GTPasteur,2
Setrasari,1
IstanaPlaza,1
Sederhana,1
Jawa,2
Alunalun,7
Padasuka,6
Cibereum,0
Kings,7
Laswi,1
Sumatra,1
Sarijadi,2
Lengkong,4
Lodaya,3
MochTohaAtas,0
Situsaeur,7
TerminalLeuwipanjang,0
Malabar,7
PasarBaru,7
Pungkur,7
Batununggal,6
Naripan,7
OtoIskandarDinata,7
Pagarsih,2
Surapati,3
Pelesiran,3
Peta,4
Leuwipanjang,4
Sukarasa,4
SultanAgung,3
TerusanBuahBatu,1
RayaKopo,6
RayaResort,2
BabakanCiparay,1
SadangSerang,3
Samsat,2
Tubagus,2
Setraduta,3
Margacinta,1
PajajaranWayang,6
StasiunKAKircon,8
Cikadut,3
Sunda,7
Unpad,9
Purwakarta,9
Viaduct,2
