Source,Target,weight
BIP,BIP,5.0
BIP,DagoBawah,4.0
BTC,BandaraHusein,3.0
BTC,RSHS,3.0
BTC,Tamansari,3.0
CihampelasAtas,CihampelasAtas,3.0
CihampelasAtas,LebakSiliwangi,3.0
CihampelasAtas,StasiunKABandung,3.0
Cihampelasbawah,Cihampelasbawah,5.0
Cipaganti,Tamansari,4.0
Ciumbeuleuit,Ciumbeuleuit,8.0
Ciumbeuleuit,Ciwalk,3.0
Ciumbeuleuit,DagoTengah,3.0
DagoAtas,DagoTengah,4.0
DagoTengah,Tamansari,3.0
IstanaPlaza,PVJ,4.0
JalanAceh,Martadinata,3.0
KebonJati,AsiaAfrika,3.0
KebonJati,KebonJati,15.0
KebonJati,LuarBdg,7.0
KebonJati,Viaduct,3.0
KiaraCondong,Martadinata,3.0
LuarBdg,Djunjunan,3.0
LuarBdg,LuarBdg,9.0
LuarBdg,RSHS,3.0
Malabar,BragaCityWalk,3.0
Martadinata,BIP,7.0
Martadinata,DagoTengah,4.0
Martadinata,Martadinata,8.0
Martadinata,TSM,3.0
PasarBaru,Cipaganti,3.0
PVJ,BIP,5.0
PVJ,Braga,4.0
PVJ,CihampelasAtas,6.0
PVJ,Cihampelasbawah,3.0
PVJ,Cipagantibawah,3.0
PVJ,Ciumbeuleuit,4.0
PVJ,Ciwalk,3.0
PVJ,DagoAtas,3.0
PVJ,DagoTengah,3.0
PVJ,GerlongHilir,3.0
PVJ,KiaraCondong,3.0
PVJ,LebakSiliwangi,4.0
PVJ,LuarBdg,3.0
PVJ,Pajajaran,5.0
PVJ,PVJ,20.0
PVJ,RSHS,10.0
PVJ,Sederhana,5.0
PVJ,SetiabudiSelatan,3.0
PVJ,StasiunKABandung,4.0
PVJ,Sukajadi,7.0
PVJ,Sukarasa,5.0
PVJ,Surapati,3.0
PVJ,Tamansari,5.0
Rancabali,Rancabali,21.0
RayaResort,DagoAtas,7.0
RSHS,RSHS,3.0
RSHS,SetiabudiSelatan,3.0
StasiunKABandung,Cipaganti,3.0
StasiunKABandung,Djunjunan,4.0
StasiunKABandung,IstanaPlaza,3.0
StasiunKABandung,KebonJati,4.0
StasiunKABandung,LuarBdg,6.0
StasiunKABandung,Martadinata,3.0
StasiunKABandung,Pajajaran,3.0
StasiunKABandung,Peta,3.0
StasiunKABandung,StasiunKABandung,6.0
StasiunKABandung,Sukajadi,3.0
Sukajadi,PVJ,5.0
Sukajadi,RSHS,4.0
Sukajadi,Tamansari,3.0
