label,modularity_class
ABC,0
Cipaganti,0
KebonJati,1
Lengkong,2
LuarBdg,2
Sukamiskin,1
AHNasution,2
Cicadas,3
Leuwipanjang,2
Martadinata,3
Peta,2
StasiunKABandung,2
Supratman,2
Alunalun,2
AsiaAfrika,4
BIP,5
BragaCityWalk,4
Cibadak,1
Cibaduyut,2
CihampelasAtas,5
DagoBawah,5
GunungBatu,5
IstanaPlaza,6
Kings,2
PVJ,5
Ambon,5
Djunjunan,5
RSHS,6
Antapani,5
SetiabudiUtara,5
Arcamanik,1
TerusanJakarta,1
Belitung,4
Braga,5
BuahBatu,2
Cimuncang,4
DagoTengah,5
JendralSudirman,2
Sumatra,1
SuryaSumantri,4
Tamansari,5
Veteran,4
Viaduct,1
Awilinggar,0
BabakanCiparay,2
Cigelereng,2
BabakanJeruk,2
TerminalLeuwipanjang,2
BandaraHusein,6
Batununggal,1
Cicendo,6
Cihanjuang,6
DagoAtas,5
GatotSubroto,4
MochTohaAtas,6
Pajajaran,6
BEC,6
BTC,6
Cisaranten,2
Ciumbeuleuit,5
JalanAceh,3
OtoIskandarDinata,2
SetiabudiSelatan,5
Unpad,2
Gedungsate,4
Bengawan,5
KiaraCondong,3
Bikasoga,4
BKR,2
Cicaheum,1
Cipagantibawah,5
Ciwaruga,5
Jakarta,3
Margacinta,3
Naripan,1
Padasuka,5
PasarBaru,0
Sukapura,0
SultanAgung,3
Malabar,4
CikutraTimur,5
Jawa,4
Sukajadi,5
DagoGiri,3
DipatiUkur,2
Sederhana,6
Sukamulya,6
Surapati,3
Suci,3
Burangrang,4
Kosambi,4
Laswi,4
TSM,2
Cigondewah,2
Gardujati,2
RajawaliTimur,0
LapangTegaLega,2
MikoMall,1
Pasirluyu,2
CibaduyutKidul,4
Cibereum,1
Cijerah,1
Pagarsih,5
Pahlawan,3
PHMustopha,3
Cigadung,4
Cihampelasbawah,2
CIkutraBarat,6
Ciwalk,5
LebakSiliwangi,5
GTKopo,2
Karapitan,0
Pelesiran,2
Tubagus,5
Cimahi,1
Elang,2
Cimindi,2
GTPasteur,1
Setrasari,5
HOSCokro,0
Sukarasa,0
TerusanBuahBatu,0
SersanBajuri,5
Cipaku,3
Cipedes,1
Cisitu,5
ITB,5
Citarum,2
UjungBerung,5
Katamso,0
KopoSayati,2
Lembong,5
DagoPakar,5
Gasibu,5
DalemKaum,2
DewiSartika,2
Jatihandap,2
GerlongHilir,5
RayaKopo,2
Pungkur,4
RiungBandung,4
RSAlIslam,4
Gedebage,2
GTBuahBatu,2
Turangga,2
GTMochToha,1
Hegarmanah,5
Holis,6
CarefourKiaracondong,1
Cijambe,3
MetroIndahMall,0
Panyileukan,1
KPAD,5
Sidomukti,5
LingkarSelatan,0
Lodaya,2
LotteMartSoe-Hatt,0
Margahayuraya,0
Polban,2
StasiunKAKircon,2
Sunda,2
Maleber,2
Samsat,0
Punclut,6
PasirImpun,3
Sarijadi,5
Rancabali,0
RayaResort,5
SadangSerang,3
Situsaeur,1
CukangKawung,2
PajajaranWayang,2
Cibiru,2
