Source,Target,weight
ABC,Lengkong,1.0
AHNasution,Cicadas,1.0
AHNasution,KopoSayati,1.0
AHNasution,StasiunKABandung,1.0
AHNasution,Suci,1.0
AHNasution,Supratman,1.0
Alunalun,BragaCityWalk,1.0
Ambon,CarefourKiaracondong,1.0
Ambon,PVJ,1.0
AsiaAfrika,KebonJati,1.0
AsiaAfrika,Naripan,1.0
AsiaAfrika,RSHS,1.0
AsiaAfrika,StasiunKABandung,1.0
AsiaAfrika,Tamansari,1.0
BabakanCiparay,Cibadak,1.0
BandaraHusein,Sukamiskin,1.0
Batununggal,BandaraHusein,1.0
BEC,BTC,1.0
BEC,DagoBawah,1.0
BEC,RSHS,1.0
Bikasoga,Martadinata,1.0
BIP,BIP,2.0
BIP,Braga,1.0
BIP,Cipaganti,1.0
BIP,DagoTengah,1.0
BIP,Djunjunan,1.0
BIP,GerlongHilir,1.0
BIP,JendralSudirman,1.0
BragaCityWalk,GerlongHilir,1.0
BragaCityWalk,Naripan,1.0
BragaCityWalk,Viaduct,1.0
BTC,Cicendo,1.0
BTC,Cimindi,1.0
BTC,DagoTengah,1.0
BTC,IstanaPlaza,1.0
BTC,LuarBdg,1.0
BTC,PVJ,1.0
BTC,RSHS,1.0
BuahBatu,Batununggal,1.0
Burangrang,DagoTengah,1.0
Burangrang,Laswi,1.0
Cibadak,Alunalun,1.0
Cibadak,Cigondewah,1.0
Cibadak,PasirKoja,1.0
Cicadas,LingkarSelatan,1.0
Cicadas,SuryaSumantri,1.0
Cicaheum,LuarBdg,1.0
Cicaheum,RSHS,1.0
Cicendo,Cicadas,1.0
CihampelasAtas,AHNasution,1.0
CihampelasAtas,CihampelasAtas,1.0
CihampelasAtas,Cihampelasbawah,1.0
CihampelasAtas,Ciwalk,1.0
CihampelasAtas,DagoAtas,2.0
CihampelasAtas,LebakSiliwangi,1.0
CihampelasAtas,Pungkur,1.0
CihampelasAtas,RSHS,1.0
CihampelasAtas,SetiabudiSelatan,1.0
CihampelasAtas,Suci,1.0
CihampelasAtas,Tamansari,1.0
Cihampelasbawah,AHNasution,2.0
Cihampelasbawah,Cicadas,1.0
Cihampelasbawah,GTBuahBatu,1.0
Cijerah,Cijerah,1.0
